Name,Type,TotalStake,MEV_Default,MEV_Normalized
Whale_0,Whale,2048,7.15856156,2.31737411
Whale_1,Whale,2048,6.77882734,2.19444631
Whale_2,Whale,2048,7.28405591,2.35799922
Shark_0,Shark,1024,2.95287570,1.63869738
Shark_1,Shark,1024,3.39481553,1.88395174
Shark_2,Shark,1024,3.00993637,1.67036318
Shark_3,Shark,1024,3.40981888,1.89227784
Shark_4,Shark,1024,3.14863713,1.74733512
Dolphin_0,Dolphin,512,1.71192802,1.58338980
Dolphin_1,Dolphin,512,1.59790039,1.47792381
Dolphin_2,Dolphin,512,1.64498884,1.52147667
Dolphin_3,Dolphin,512,1.85739605,1.71793553
Dolphin_4,Dolphin,512,1.85580631,1.71646515
Dolphin_5,Dolphin,512,1.52327333,1.40890004
Dolphin_6,Dolphin,512,1.53586565,1.42054688
Dolphin_7,Dolphin,512,1.53624441,1.42089720
Fish_0,Fish,256,0.78755567,1.16547668
Fish_1,Fish,256,0.90712015,1.34241606
Fish_2,Fish,256,0.75476438,1.11694997
Fish_3,Fish,256,0.78049804,1.15503234
Fish_4,Fish,256,0.81586606,1.20737226
Fish_5,Fish,256,0.89540947,1.32508583
Fish_6,Fish,256,0.91562970,1.35500906
Fish_7,Fish,256,0.87375956,1.29304687
Fish_8,Fish,256,0.89629566,1.32639727
Fish_9,Fish,256,0.87022117,1.28781053
Fish_10,Fish,256,0.72931588,1.07928960
Fish_11,Fish,256,0.69643910,1.03063639
Fish_12,Fish,256,0.68784755,1.01792204
Octopus_0,Octopus,128,0.36304164,0.80587934
Octopus_1,Octopus,128,0.44005253,0.97682803
Octopus_2,Octopus,128,0.34514411,0.76615043
Octopus_3,Octopus,128,0.45252163,1.00450691
Octopus_4,Octopus,128,0.40254943,0.89357867
Octopus_5,Octopus,128,0.40095976,0.89004994
Octopus_6,Octopus,128,0.43583566,0.96746742
Octopus_7,Octopus,128,0.36276747,0.80527074
Octopus_8,Octopus,128,0.37968660,0.84282781
Octopus_9,Octopus,128,0.42797283,0.95001352
Octopus_10,Octopus,128,0.42633509,0.94637807
Octopus_11,Octopus,128,0.40305765,0.89470684
Octopus_12,Octopus,128,0.38398611,0.85237185
Octopus_13,Octopus,128,0.46608592,1.03461690
Octopus_14,Octopus,128,0.42353126,0.94015412
Octopus_15,Octopus,128,0.41789576,0.92764444
Octopus_16,Octopus,128,0.47077339,1.04502214
Octopus_17,Octopus,128,0.43213579,0.95925445
Octopus_18,Octopus,128,0.39215600,0.87050737
Octopus_19,Octopus,128,0.41715763,0.92600594
Octopus_20,Octopus,128,0.37756569,0.83811981
Crab_0,Crab,32,0.09182045,0.27176387
Crab_1,Crab,32,0.10833703,0.32064854
Crab_2,Crab,32,0.09971163,0.29511966
Crab_3,Crab,32,0.09899298,0.29299264
Crab_4,Crab,32,0.09538465,0.28231296
Crab_5,Crab,32,0.10646397,0.31510478
Crab_6,Crab,32,0.10809287,0.31992588
Crab_7,Crab,32,0.10409565,0.30809517
Crab_8,Crab,32,0.10460223,0.30959453
Crab_9,Crab,32,0.09018673,0.26692851
Crab_10,Crab,32,0.12942581,0.38306564
Crab_11,Crab,32,0.10328798,0.30570470
Crab_12,Crab,32,0.10615476,0.31418958
Crab_13,Crab,32,0.11118730,0.32908457
Crab_14,Crab,32,0.10367651,0.30685464
Crab_15,Crab,32,0.09798695,0.29001508
Crab_16,Crab,32,0.09512695,0.28155023
Crab_17,Crab,32,0.10493413,0.31057687
Crab_18,Crab,32,0.09834337,0.29106997
Crab_19,Crab,32,0.09491481,0.28092236
Crab_20,Crab,32,0.09957522,0.29471591
Crab_21,Crab,32,0.11112701,0.32890612
Crab_22,Crab,32,0.10872976,0.32181090
Crab_23,Crab,32,0.10438716,0.30895798
Crab_24,Crab,32,0.09409511,0.27849627
Crab_25,Crab,32,0.09365397,0.27719061
Crab_26,Crab,32,0.09327506,0.27606914
Crab_27,Crab,32,0.10366964,0.30683431
Crab_28,Crab,32,0.11229888,0.33237453
Crab_29,Crab,32,0.09841445,0.29128035
Crab_30,Crab,32,0.08886869,0.26302745
Crab_31,Crab,32,0.10954389,0.32422050
Crab_32,Crab,32,0.11229368,0.33235913
Crab_33,Crab,32,0.09898401,0.29296609
